state,district,crop,year,data_status,production_tonnes,fertilizer_use_kg_per_hectare,pesticide_use_kg_per_hectare,pH,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,organic_carbon_percent,msp_rs_qtl,expected_yield_q_ha,estimated_yield_q_ha,yield_gap_q_ha,production_cost_rs_ha,expected_net_return_rs_ha,water_stress_index,estimated_co2_kg_per_hectare,formula_pollution_index,pollution_index,sustainability_score
Punjab,Amritsar,Wheat,2019,Official-aligned historical,8156.6,257.07,18.21,7.81,328.0,20.8,299.0,0.49,2585,50,50.32,0,72000,58077.2,0.7837846089201981,427.06,76.04,78.74,23.92
Punjab,Amritsar,Wheat,2020,Official-aligned historical,7772.6,261.7,18.43,7.78,326.8,20.8,299.0,0.48,2585,50,50.17,0,72000,57689.45,0.7837846089201981,434.2,76.9,74.08,28.53
Punjab,Amritsar,Wheat,2021,Official-aligned historical,7984.2,266.33,18.65,7.75,325.6,20.8,298.9,0.49,2585,50,50.27,0,72000,57947.95,0.7837846089201981,441.34,77.84,80.51,22.13
Punjab,Amritsar,Wheat,2022,Official-aligned historical,8424.1,270.96,18.87,7.74,324.4,20.8,298.9,0.51,2585,50,50.48,0,72000,58490.8,0.7837846089201981,448.49,78.81,82.9,19.83
Punjab,Amritsar,Wheat,2023,Official-aligned historical,8064.7,275.58,19.08,7.77,323.2,20.9,298.8,0.52,2585,50,50.58,0,72000,58749.3,0.7837846089201981,455.56,79.67,82.28,20.49
Punjab,Amritsar,Wheat,2024,Provisional estimate,8144.4,280.21,19.3,7.81,322.0,20.9,298.8,0.52,2585,50,50.55,0,72000,58671.75,0.7837846089201981,462.7,80.6,77.05,25.71
Punjab,Amritsar,Wheat,2025,Model-estimated scenario,8669.8,284.84,19.52,7.82,320.8,20.9,298.8,0.49,2585,50,50.15,0,72000,57637.75,0.7837846089201981,469.84,81.58,75.97,26.63
Punjab,Amritsar,Wheat,2026,Model-estimated scenario,8373.1,289.47,19.74,7.79,319.6,20.9,298.7,0.48,2585,50,49.99,0.01,72000,57224.15,0.7837846089201981,476.99,82.46,87.92,14.61
Punjab,Amritsar,Rice / Paddy,2019,Official-aligned historical,10327.3,299.95,23.34,7.81,328.0,20.8,299.0,0.49,2441,65,65.42,0,90000,69690.22,1,508.97,90.12,89.59,13.13
Punjab,Amritsar,Rice / Paddy,2020,Official-aligned historical,10277.8,305.35,23.62,7.78,326.8,20.8,299.0,0.48,2441,65,65.22,0,90000,69202.02,1,517.42,91.2,84.68,17.97
